RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
17.18,57.03336,56.02609,[M+H]+,FALSE,,C3H4O,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,382,0,0,1286,590,0,0,0,428,0,388,0,0
14.85,57.03336,56.02608,[M+H]+,TRUE,,C3H4O,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,690,[],TRUE,528,600,616,690,814,884,1008,0,0,724,850,664,726
18.39,57.03339,56.02611,[M+H]+,FALSE,,C3H4O,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,0,[],TRUE,806,0,0,0,0,0,0,0,2202,0,0,1018,0
5.66,57.03345,56.02617,[M+H]+,FALSE,,C3H4O,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,442,[],TRUE,400,564,386,558,294,764,542,326,366,442,600,476,416
11.29,57.06792,56.06065,[M+H]+,TRUE,,C4H8,"SmartFormula - mzdev: -0.0020 mSigma: Infinity, ",20000,,1714,[],TRUE,1044,1162,1298,1518,1348,1790,1680,1814,2150,1714,1790,1876,2512
5.44,57.06956,56.06229,[M+H]+,FALSE,,C4H8,"SmartFormula - mzdev: -0.0003 mSigma: Infinity, ",20000,,204,[],TRUE,92,204,160,0,0,336,0,224,150,720,222,376,288
18.57,57.06956,56.06228,[M+H]+,TRUE,,,,,,10424,[],TRUE,7058,8438,8752,10424,11572,13476,11750,11594,10118,12050,10712,10310,6918
6.65,57.06958,56.0623,[M+H]+,FALSE,,C4H8,"SmartFormula - mzdev: -0.0003 mSigma: Infinity, ",20000,,298,[],TRUE,228,276,922,0,244,298,248,282,314,358,404,350,324
19.65,57.06967,112.12479,[M+H+H]2+,FALSE,,,,,,2692,[],TRUE,2092,2556,1850,12194,2814,3222,3354,2692,2946,2792,2500,2182,2686
9.61,57.06969,56.06241,[M+H]+,TRUE,,C4H8,"SmartFormula - mzdev: -0.0002 mSigma: Infinity, ",20000,,510,[],TRUE,0,506,612,0,1724,0,0,658,786,496,510,524,1150
15.02,57.06973,56.06245,[M+H]+,TRUE,,,,,,2662,[],TRUE,0,2662,2322,2402,2716,3450,18882,2778,3096,2104,2950,2506,2404
13.76,57.06974,56.06246,[M+H]+,TRUE,,,,,,7710,[],TRUE,5610,11438,7644,6170,6432,8914,8764,7812,8328,8448,6630,7476,7710
5.97,57.06979,56.06252,[M+H]+,TRUE,,,,,,618,[],TRUE,352,618,2152,712,440,510,790,412,506,696,2400,568,672
