"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","G1","G10","G11","G12","G13","G14","G15","G17","G18","G19","G2","G21","G22","G23","G4","G5","G6","G7","G8","G9","NP"
"FT0018",81.9367183233002,81.9366019033668,81.9368405247788,1138.92272949219,1135.5205078125,1142.01994140625,43,1,4,4,0,1,1,2,2,3,3,2,2,1,3,3,1,0,2,4,2,2
"FT0019",82.9960720016603,82.9959830432081,82.9961495045981,1138.95483398438,1133.34533691406,1142.75994140625,54,1,5,4,0,4,1,3,3,3,3,2,3,1,3,3,2,0,3,5,2,3
"FT0020",82.9960649144542,82.9960091026493,82.9961957153488,1117.71203613281,1111.44213867188,1122.30249023438,43,2,5,3,2,2,1,3,2,2,2,1,1,1,2,1,3,2,3,3,1,1
"FT0021",83.9963027147836,83.9961836654119,83.9964128212492,1120.44738769531,1109.95544433594,1134.93566894531,53,3,1,3,3,0,1,2,2,2,1,3,1,4,0,2,2,3,2,0,1,2
"FT0022",84.0436911096749,84.0435139871405,84.0438228923223,42.5601768493652,36.1610488891602,44.4721183776855,39,3,0,4,1,0,3,2,4,2,0,2,0,2,0,1,2,3,0,3,2,5
"FT0023",84.9589685036276,84.9588591814092,84.9591021144265,40.7184715270996,24.4104175567627,50.0593719482422,157,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0024",84.9589481728087,84.9588688821538,84.9590028662503,55.6469802856445,50.0854568481445,67.221549987793,66,1,3,4,1,5,3,2,3,4,0,4,1,3,1,2,2,2,2,4,4,5
"FT0025",85.1004538945344,85.1002902965278,85.1006487392985,859.173278808594,855.828002929688,862.052734375,29,1,2,1,2,0,2,1,3,1,1,0,2,4,3,0,3,0,0,0,1,2
"FT0026",86.5171409511686,86.5170315081879,86.5173077612869,44.5068435668945,41.4968223571777,48.6602096557617,44,1,3,1,2,3,3,2,1,3,4,1,3,0,3,2,3,1,1,2,2,3
"FT0027",87.0433325858024,87.0431786541131,87.0434676451058,550.186279296875,546.363525390625,555.640502929688,103,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FT0028",88.4873745453413,88.4873209319807,88.4875278124378,42.40505027771,38.1658096313477,42.992244720459,18,0,0,3,1,1,1,0,0,1,0,0,2,2,0,0,0,0,0,4,2,1
"FT0029",88.9518037724629,88.9516713485743,88.9519660569491,40.7310218811035,25.0285224914551,45.0730056762695,80,3,5,5,3,4,4,3,5,3,4,3,2,3,4,3,4,4,4,3,5,5
"FT0030",89.0589338363384,89.0588305986028,89.0591136251687,430.711975097656,427.033935546875,435.952606201172,77,5,5,5,2,4,3,5,5,3,1,5,2,4,1,4,5,2,2,5,5,4
"FT0031",89.0589221540444,89.0588178048293,89.0590820425891,303.631927490234,300.1875,306.609283447266,70,5,5,5,5,4,3,1,4,0,0,5,0,4,0,5,5,5,2,3,5,4
"FT0032",89.5062039941512,89.5061079227519,89.5062847466829,1139.28912353516,1134.39208984375,1143.64994140625,56,2,4,4,1,4,2,3,3,3,3,3,2,2,4,4,2,0,3,3,1,3
"FT0033",90.5064021933913,90.5063103431803,90.5065436923526,1121.61920166016,1113.99548339844,1139.68994140625,80,3,2,2,4,2,2,2,3,4,1,2,3,5,4,3,2,3,3,3,1,0
"FT0034",90.9758514284585,90.9756648909717,91.0135261396817,32.0478038787842,27.3468818664551,37.7631721496582,88,4,4,5,2,5,5,3,4,5,4,4,3,3,4,3,4,3,3,5,3,5
