RT [min],m/z meas.,M meas.,Ions,MS/MS,Name,Molecular Formula,Annotations,AQ,Annotation Source,Boxplot,Flags,Include,blank,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
10.56,71.01386,72.02114,[M-H]-,TRUE,,C3H4O2,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,,714,[],TRUE,594,920,698,714,702,546,864,712,700,764,880,844,996
12.83,75.00872,76.016,[M-H]-,TRUE,,,,,,370,[],TRUE,310,264,424,406,350,344,476,424,318,370,422,764,370
6.06,75.00894,76.01622,[M-H]-,TRUE,,,,,,378,[],TRUE,254,378,542,222,442,752,264,350,246,418,382,490,334
10.04,75.00895,76.01623,[M-H]-,FALSE,,,,,,390,[],TRUE,390,374,720,440,352,386,480,322,400,398,290,436,272
10.18,79.95738,80.96466,[M-H]-,TRUE,,,,,,196,[],TRUE,166,134,122,770,284,348,180,376,0,196,88,358,202
13.38,79.95754,80.96482,[M-H]-,TRUE,,,,,,228,[],TRUE,248,196,190,742,188,356,246,232,178,304,202,228,104
12.35,80.97465,81.98193,[M-H]-,TRUE,,,,,,1000,[],TRUE,764,1214,642,1254,658,1292,1000,1026,788,802,882,1018,1070
19.36,83.93071,84.93798,[M-H]-,TRUE,,,,,,1360,[],TRUE,1424,1552,1196,1444,1300,1662,1360,1264,1350,1356,1402,1416,1230
19.63,83.93071,84.93798,[M-H]-,TRUE,,,,,,1844,[],TRUE,1850,1396,1844,1766,1370,1772,2002,1942,1982,1410,2494,2122,1540
19.09,83.93093,84.9382,[M-H]-,TRUE,,,,,,1152,[],TRUE,1132,1362,1152,1002,1214,1330,1132,1342,1118,1764,1338,1132,700
19.98,86.97584,87.98312,[M-H]-,TRUE,,,,,,640,[],TRUE,702,668,628,676,560,518,840,686,548,570,530,816,640
0.85,86.97645,87.98372,[M-H]-,FALSE,,,,,,326,[],TRUE,288,250,334,308,296,444,382,708,300,368,228,326,434
17.99,87.00768,88.01496,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0011 mSigma: Infinity, ",20000,,428,[],TRUE,790,520,570,446,740,500,428,398,414,414,398,410,388
11.18,87.00865,88.01593,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,414,[],TRUE,348,362,378,700,570,428,520,342,360,570,372,414,604
6.28,87.00868,88.01596,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,452,[],TRUE,378,492,990,394,496,452,816,444,436,400,556,478,380
6.61,87.00872,88.016,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,448,[],TRUE,352,374,706,858,448,398,520,474,416,458,486,400,352
5.31,87.00874,88.01602,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,442,[],TRUE,282,728,546,476,404,838,348,504,378,584,442,424,422
7.66,87.00874,88.01601,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,,558,[],TRUE,638,0,570,498,662,558,428,546,918,288,564,446,838
10.93,87.00878,88.01605,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,,486,[],TRUE,522,480,534,554,480,1198,514,568,448,422,466,486,372
7.21,87.00879,88.01607,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,,432,[],TRUE,384,434,380,632,364,382,440,538,344,612,406,888,432
12.85,87.0088,88.01607,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,,266,[],TRUE,0,320,424,0,262,708,0,434,342,416,0,266,220
5.64,87.00884,88.01612,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0001 mSigma: Infinity, ",20000,,438,[],TRUE,406,708,438,448,434,586,698,424,376,726,388,392,516
18.61,87.00887,88.01614,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0001 mSigma: Infinity, ",20000,,454,[],TRUE,402,528,550,688,388,0,466,486,398,446,454,778,408
12.15,87.00895,88.01622,[M-H]-,TRUE,,C3H4O3,"SmartFormula - mzdev: 0.0002 mSigma: Infinity, ",20000,,414,[],TRUE,414,460,528,454,344,342,384,0,414,0,766,0,628
1.56,88.93307,89.94034,[M-H]-,TRUE,,,,,,866,[],TRUE,414,866,972,1128,678,880,604,896,910,766,816,756,870
19.47,89.02217,90.02945,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0022 mSigma: Infinity, ",20000,,844,[],TRUE,1368,644,766,886,840,848,704,744,772,1022,1056,940,844
10.5,89.02256,90.02984,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0019 mSigma: Infinity, ",20000,,790,[],TRUE,878,928,670,874,432,730,802,740,802,890,772,672,790
5.16,89.02429,90.03157,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,428,[],TRUE,356,740,530,382,386,394,494,404,504,684,428,608,428
6.41,89.02436,90.03163,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,528,[],TRUE,460,0,554,496,550,442,556,530,452,580,528,1402,470
13.44,89.02436,90.03163,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,,586,[],TRUE,586,634,464,696,1364,454,818,484,688,834,556,526,518
0.83,89.02437,90.03165,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: 9.88, ",20200,,3180,[],TRUE,102,2702,3744,4588,2942,3408,3014,5670,3180,5238,3102,3822,2626
