"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
54,"M476.192T5.68",4542.830357,"476.192","5.68",476.19,5.68,5.68,476.19153,475.18425,"[M+H]+",TRUE,"","C19H29N3O11",966.578304,"781",475.18425
55,"M623.439T18.19",4543.383929,"623.439","18.19",623.44,18.19,18.19,623.43909,622.43182,"[M+H]+",TRUE,"","",2810.45728,"3156",622.43182
56,"M177.055T3.17",4543.580357,"177.055","3.17",177.06,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"M644.432T19.38",4543.732143,"644.432","19.38",644.43,19.38,19.38,644.43196,643.42468,"[M+H]+",TRUE,"","C29H61N3O12",7669.40032,"4630",643.42468
58,"M728.498T18.42",4885.866071,"728.498","18.42",728.5,18.42,18.42,728.49833,1454.98211,"[M+H+H]2+",TRUE,"","C71H142N2O27",8734.333388,"4737",1454.98211
59,"M263.956T1.5",4886.428571,"263.956","1.5",263.96,1.5,1.5,263.95631,262.94903,"[M+H]+",TRUE,"","",883.351168,"681",262.94903
60,"M810.588T18.5",4886.464286,"810.588","18.5",810.59,18.5,18.5,810.58805,809.58078,"[M+H]+",FALSE,"","C49H79NO8",2124.968,"2456",809.58078
61,"M524.159T4.82",4886.973214,"524.159","4.82",524.16,4.82,4.82,524.15859,523.15131,"[M+H]+",TRUE,"","",2515.853,"2899",523.15131
62,"M295.175T4.88",4886.982143,"295.175","4.88",295.18,4.88,4.88,295.17506,294.16778,"[M+H]+",TRUE,"","C14H22N4O3",465.420544,"380",294.16778
63,"M479.178T8.11",4887.285714,"479.178","8.11",479.18,8.11,8.11,479.17781,956.34107,"[M+H+H]2+",TRUE,"","C51H56O18",0,"220",956.34107
