"feature","solA","pvalue","mz"
"3033",0.246148267497435,9.04992763226971e-14,582.23056
"3533",0.245009188085333,9.5170409116586e-10,469.33115
"42",0.244262695935423,1.40708660026953e-28,184.07334
"3032",0.244105460526184,1.27255252269385e-15,664.14644
"2541",0.243453872555104,1.3944180118524e-22,75.09142
"328",0.243324782423884,0.0155131630509033,298.20096
"3914",0.24267293576542,4.11910426724565e-15,236.93866
"232",0.242515522860105,5.86881986264881e-12,470.69676
"3388",0.241720482991565,4.8931006942409e-07,269.10189
"464",0.240770989543503,7.07255984026781e-13,207.10147
"591",0.239930391850843,0.00231061741465826,790.56473
"5341",0.239119121499621,6.97018838773206e-11,249.11209
"571",0.23869794318319,0.000674752604454228,956.62839
"535",0.238221138100151,3.24805325181454e-09,274.13966
"1144",0.238220244648683,2.36599130592715e-24,697.83644
"85",0.237915780831831,0.00427720497408962,134.04474
"5404",0.237783680546826,7.7532807589087e-10,706.45226
"14",0.237298967976664,3.97422989268249e-07,177.05463
"1211",0.236310976457913,1.2767974038479e-08,688.18893
"2400",0.235913994875909,4.81765482214858e-21,218.1023
"224",0.235469009292249,0.014725491489521,500.72062
"681",0.235260266895694,2.77090760959496e-14,263.95631
"4327",0.235075448107325,2.34934030533996e-11,230.9901
"4187",0.23460852659895,9.44359887797013e-13,277.21608
"2781",0.234414380274574,4.03753583733744e-24,112.11189
"225",0.234409495908864,0.00923375014777694,477.35735
"4522",0.234066110675571,2.61892915560802e-22,125.98608
"223",0.233651449150506,0.00725274434830366,417.33617
"2424",0.233393894961534,3.28935951387443e-12,322.14959
"532",0.232952289500608,1.15318656734576e-24,395.66513
"262",0.232512866789898,1.68442081128003e-06,285.24215
"165",0.232374813225416,5.28567091021795e-11,84.04426
"1956",0.231385503369989,0.000528526138690655,744.51598
"1138",0.23136125642023,1.568133683961e-16,594.43434
"2727",0.231143278551703,1.33834520175571e-08,265.21613
"164",0.230299421782609,8.52810340051044e-20,133.0858
"1504",0.228896438638866,8.25515364268531e-07,572.23718
"4168",0.228672541180971,0.000523447730903994,383.89414
"2038",0.22806694174484,8.45998601469589e-08,505.35231
"3839",0.227838784174411,8.7312291338927e-20,174.03994
"1016",0.227712165952314,0.00427809723767989,325.20073
"5459",0.227265425215409,1.7813579416306e-17,286.09213
"1858",0.226997989771732,3.21567654891493e-14,464.86548
"295",0.22648738879211,5.953310121602e-28,450.19707
"68",0.225733469410852,6.65740565622766e-08,71.01255
"2271",0.224280671087504,0.0120356731078324,743.19582
