"feature","hatching","pvalue","mz"
"5372",0.215318313899364,0.0332347195746908,56.96448
"4231",0.215264792494818,0.0332795678933143,256.12918
"1761",0.214769839498592,0.0336967347194274,808.54182
"54",0.21462179084456,0.0338223681830011,510.3554
"5241",0.214304445674517,0.0340929945074226,722.44685
"1958",0.212932335196545,0.0352841640596923,386.2021
"2197",0.212624861186601,0.0355558325674934,509.29165
"976",0.212565570355354,0.0356084204357104,485.36405
"344",0.212404826662001,0.035751320310578,738.44176
"5479",0.212309431522345,0.0358363532376968,86.9927
"1299",0.212241791571786,0.0358967486632429,441.29767
"3929",0.212105387718734,0.0360188029591127,130.15894
"346",0.211808294454227,0.0362858479674102,191.07034
"3201",0.211570453071588,0.0365008291460711,468.29911
"3008",0.211459422971931,0.0366015526814776,655.86281
"5573",0.210494397234126,0.0374868539618077,57.93447
"4713",0.209741898605029,0.0381895693645997,221.11721
"788",0.209724416756664,0.0382060247962775,356.16037
"5048",0.209457610575552,0.0384579031235755,170.06621
"322",0.209082398335018,0.0388144714388058,224.08179
"1826",0.208900817548162,0.0389880198094908,427.15589
"3905",0.208706460022082,0.0391744980553783,523.35459
"5418",0.207998782254049,0.0398597969559252,353.73039
"2426",0.207378055478662,0.040469109226591,259.95757
"2499",0.206908359629448,0.0409353168175802,186.05811
"638",0.204467434883952,0.0434308155884241,504.15007
"4288",0.20441348485247,0.0434873696202885,220.11793
"1690",0.204360348025722,0.0435431310351265,227.12777
"4988",0.204277735834276,0.0436299417333212,853.34057
"5465",0.204042370813862,0.0438780576381706,183.11999
"199",0.203595818887875,0.0443520245924638,474.25994
"3138",0.203497916438952,0.0444565038823212,674.48265
"1676",0.203334234994648,0.0446316375305785,323.14948
"2004",0.203320692965958,0.0446461526684414,373.18699
"2258",0.203310836611003,0.0446567197501368,242.10232
"3457",0.203296392246465,0.0446722094272569,442.32752
"143",0.202979501353991,0.045013157178564,127.03885
"713",0.202691107011975,0.0453253194326526,363.14133
"666",0.201656427945409,0.0464600877368091,376.10043
"4340",0.201392737161519,0.0467530204931012,574.38855
"5402",0.200754588545896,0.0474682716819263,274.87325
"2580",0.199697844160164,0.048672595057363,878.48873
"633",0.199476759310609,0.0489277229555423,155.14306
"1995",0.199311995664619,0.0491185748774839,512.326
"4368",0.199206405852095,0.0492412065246409,218.10237
"413",0.199070358969525,0.0493995835816724,65.03818
