"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
54,"M207.139T9.55",1312.464286,"207.139","9.55",207.14,9.55,9.55,207.13902,208.14629,"[M-H]-",TRUE,"","C13H20O2",499.0010687,"265",208.14629
55,"M313.129T6.94",1313.142857,"313.129","6.94",313.13,6.94,6.94,313.12918,314.13645,"[M-H]-",TRUE,"","C16H18N4O3",1020.596695,"1129",314.13645
56,"M327.109T6.99",1380.619048,"327.109","6.99",327.11,6.99,6.99,327.10851,328.11579,"[M-H]-",TRUE,"","C15H20O8",778,"630",328.11579
57,"M341.07T9.23",1380.952381,"341.07","9.23",341.07,9.23,9.23,341.06981,342.07709,"[M-H]-",TRUE,"","C11H18O12",1315,"1601",342.07709
58,"M317.106T10.22",1381.52381,"317.106","10.22",317.11,10.22,10.22,317.1057,318.11297,"[M-H]-",TRUE,"","C10H22O11",774.2015076,"623",318.11297
59,"M391.122T9.14",1381.738095,"391.122","9.14",391.12,9.14,9.14,391.12208,392.12935,"[M-H]-",TRUE,"","C23H20O6",2095.227532,"1948",392.12935
60,"M489.213T9.4",1381.982143,"489.213","9.4",489.21,9.4,9.4,489.21327,490.22055,"[M-H]-",TRUE,"","",1107.306432,"1294",490.22055
61,"M453.286T13.95",1382.708333,"453.286","13.95",453.29,13.95,13.95,453.28597,454.29325,"[M-H]-",TRUE,"","C20H42N2O9",503.5578772,"274",454.29325
62,"M437.088T6.31",1382.797619,"437.088","6.31",437.09,6.31,6.31,437.08808,438.09536,"[M-H]-",TRUE,"","C18H18N2O11",1495.767332,"1752",438.09536
63,"M355.086T8.25",1382.970238,"355.086","8.25",355.09,8.25,8.25,355.0855,356.09278,"[M-H]-",FALSE,"","C13H16N4O8",696.7405208,"504",356.09278
64,"M491.193T8.08",1383.166667,"491.193","8.08",491.19,8.08,8.08,491.1926,492.19988,"[M-H]-",TRUE,"","C20H32N2O12",1030,"1147",492.19988
65,"M441.157T9.16",1383.315476,"441.157","9.16",441.16,9.16,9.16,441.15729,442.16457,"[M-H]-",TRUE,"","C17H30O13",720.963976,"534",442.16457
66,"M392.109T7.04",1383.565476,"392.109","7.04",392.11,7.04,7.04,392.10928,393.11655,"[M-H]-",TRUE,"","",145.2191162,"92",393.11655
67,"M585.127T6.5",1383.761905,"585.127","6.5",585.13,6.5,6.5,585.12695,586.13422,"[M-H]-",TRUE,"","",809,"690",586.13422
68,"M347.115T8.37",1383.85119,"347.115","8.37",347.12,8.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"M283.101T9.32",1384.02381,"283.101","9.32",283.1,9.32,9.32,283.10112,284.1084,"[M-H]-",TRUE,"","C10H20O9",1219,"1477",284.1084
70,"M399.111T8.37",1384.517857,"399.111","8.37",399.11,8.37,8.37,399.11066,400.11794,"[M-H]-",TRUE,"","C22H16N4O4",704,"517",400.11794
71,"M359.079T9.05",1451.625,"359.079","9.05",359.08,9.05,9.05,359.07911,360.08638,"[M-H]-",TRUE,"","C11H20O13",1109.593133,"1298",360.08638
72,"M473.146T8.11",1452,"473.146","8.11",473.15,8.11,8.11,473.14648,474.15376,"[M-H]-",TRUE,"","",805.9430542,"683",474.15376
73,"M833.385T8.72",1452.214286,"833.385","8.72",833.38,8.72,8.72,833.38459,834.39187,"[M-H]-",TRUE,"","",1503.338405,"1756",834.39187
74,"M451.255T9.72",1453.369048,"451.255","9.72",451.26,9.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"M515.156T6.45",1453.446429,"515.156","6.45",515.16,6.45,6.45,515.156,516.16327,"[M-H]-",TRUE,"","",664.2535015,"457",516.16327
