compound,RT..min.,m.z.meas.,M.meas.,Ions,MS.MS,Name,Molecular.Formula,Annotations,AQ,Annotation.Source,Boxplot,Flags,Include,Avatar_F8,Avatar_F9,Avatar_F10,Avatar_F11,Desiree_F8,Desiree_F9,Desiree_F10,Desiree_F11,Seresta_F8,Seresta_F9,Seresta_F10,Seresta_F11
70,0.83,89.02437,90.03165,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0001 mSigma: 9.88, ",20200,NA,3180,[],TRUE,2702,3744,4588,2942,3408,3014,5670,3180,5238,3102,3822,2626
71,18.05,89.02437,90.03165,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,NA,1130,[],TRUE,1128,1376,1512,1130,1104,826,842,886,1340,1322,1228,1298
73,18.49,89.02441,90.03169,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: -0.0000 mSigma: Infinity, ",20000,NA,1096,[],TRUE,878,926,920,1092,1294,1322,1032,1338,1182,1096,1030,2308
74,17.58,89.02445,90.03172,[M-H]-,TRUE,,C3H6O3,"SmartFormula - mzdev: 0.0000 mSigma: Infinity, ",20000,NA,830,[],TRUE,746,862,652,942,830,608,1906,990,854,756,1290,670
75,1.38,91.91223,92.91951,[M-H]-,TRUE,,,,NA,NA,564,[],TRUE,400,344,590,478,490,808,794,620,458,588,564,638
77,17.81,92.92785,93.93512,[M-H]-,TRUE,,,,NA,NA,1886,[],TRUE,2298,2384,1860,1730,1740,1570,2010,1752,1886,2174,2460,1712
78,18.49,92.92795,93.93522,[M-H]-,TRUE,,,,NA,NA,1946,[],TRUE,1850,1502,1946,2244,1946,2064,1746,2124,1780,1828,1806,3784
79,19.73,92.92796,93.93524,[M-H]-,TRUE,,,,NA,NA,2362,[],TRUE,1524,1910,2578,1738,3854,2712,2284,2362,2156,2398,1948,4276
80,18.3,92.928,93.93528,[M-H]-,TRUE,,,,NA,NA,2016,[],TRUE,1630,2016,1838,1984,1722,2100,2024,2132,2572,2270,2316,1596
81,19.73,94.92425,95.93153,[M-H]-,TRUE,,,,NA,NA,1574,[],TRUE,888,1160,1520,1744,1574,1784,1238,888,1986,1444,1728,2818
82,17.29,94.92476,95.93203,[M-H]-,TRUE,,,,NA,NA,1180,[],TRUE,1772,1156,1022,1158,1206,1256,1108,1048,1092,1180,1180,1366
83,13.44,94.92498,95.93226,[M-H]-,TRUE,,,,NA,NA,866,[],TRUE,748,994,866,2174,1530,918,866,850,1024,848,754,1098
84,18.49,94.925,95.93227,[M-H]-,TRUE,,,,NA,NA,1448,[],TRUE,1346,1562,1340,1552,1096,1184,1946,1670,1362,1448,1474,2372
85,15.43,94.92503,95.93231,[M-H]-,TRUE,,,,NA,NA,980,[],TRUE,914,1310,2194,980,748,954,1046,980,1194,892,1136,992
86,18.12,94.92503,95.93231,[M-H]-,TRUE,,,,NA,NA,1354,[],TRUE,1254,1456,1354,1356,1698,1342,1260,1144,1872,1804,1494,1124
87,3.45,96.95998,97.96726,[M-H]-,TRUE,,,,NA,NA,634,[],TRUE,628,768,828,530,864,516,466,644,784,640,588,634
89,19.41,97.93119,98.93847,[M-H]-,TRUE,,,,NA,NA,750,[],TRUE,862,666,694,944,944,750,706,750,810,698,900,630
91,19.61,98.93911,99.94639,[M-H]-,TRUE,,,,NA,NA,1418,[],TRUE,1168,1200,1050,1626,1490,1466,1718,1418,1396,2184,1384,1800
93,0.48,99.92569,100.93297,[M-H]-,FALSE,,,,NA,NA,520,[],TRUE,570,412,462,414,452,592,544,502,520,770,574,588
94,19.06,99.92571,100.93299,[M-H]-,TRUE,,,,NA,NA,7152,[],TRUE,7546,7876,6852,8130,6872,7278,7262,7152,0,6782,6788,7316
95,19.39,99.92572,302.79898,[M-H-H2]3-,TRUE,,,,NA,NA,0,[],TRUE,0,0,0,9270,0,0,0,0,0,0,0,0
96,2.96,99.92573,100.933,[M-H]-,TRUE,,,,NA,NA,488,[],TRUE,478,480,436,744,450,752,504,644,488,540,430,512
97,17.39,99.92574,100.93302,[M-H]-,TRUE,,,,NA,NA,3470,[],TRUE,3232,3096,3586,3566,3422,3386,3538,3470,3586,3332,4592,4030
98,18.49,99.92574,100.93302,[M-H]-,TRUE,,,,NA,NA,4778,[],TRUE,4930,5212,4952,4778,5176,4214,4722,5178,4398,4578,4286,8790
99,3.66,99.92574,100.93302,[M-H]-,FALSE,,,,NA,NA,568,[],TRUE,568,388,442,772,750,628,660,550,532,564,600,536
100,3.33,99.92578,100.93306,[M-H]-,FALSE,,,,NA,NA,502,[],TRUE,456,582,512,502,424,488,468,578,532,458,816,578
101,19.36,99.92579,100.93307,[M-H]-,TRUE,,,,NA,NA,8864,[],TRUE,9266,8994,9528,0,8848,8488,8454,9596,8118,10004,9520,8864
102,19.49,99.9258,100.93308,[M-H]-,TRUE,,,,NA,NA,9108,[],TRUE,9544,0,0,10258,8998,8774,9108,9676,9954,9136,10714,8742
103,19.67,99.9258,201.86616,[M-H-H]2-,TRUE,,,,NA,NA,0,[],TRUE,10770,11498,11604,11680,10438,0,0,0,11642,0,0,0
104,0.31,99.92581,100.93309,[M-H]-,FALSE,,,,NA,NA,450,[],TRUE,458,434,640,650,422,448,377,450,540,436,558,728
105,19.22,99.92581,100.93309,[M-H]-,TRUE,,,,NA,NA,7970,[],TRUE,7354,8410,7482,7812,8000,7260,7994,7970,8014,8330,8466,7612
106,2.4,99.92585,100.93313,[M-H]-,FALSE,,,,NA,NA,478,[],TRUE,380,458,478,532,700,496,448,584,512,392,496,432
107,0.03,99.92587,100.93315,[M-H]-,FALSE,,,,NA,NA,520,[],TRUE,568,572,466,520,468,500,740,558,544,424,568,464
108,1.29,99.9457,100.95297,[M-H]-,FALSE,,,,NA,NA,324,[],TRUE,324,506,946,214,194,296,362,274,322,442,514,404
109,11.75,100.93242,101.9397,[M-H]-,FALSE,,,,NA,NA,412,[],TRUE,0,412,476,454,410,728,442,628,0,0,416,244
110,7.29,100.93243,101.93971,[M-H]-,FALSE,,,,NA,NA,214,[],TRUE,200,98,256,406,712,214,0,214,244,246,184,248
111,13.13,100.93275,101.94003,[M-H]-,TRUE,,,,NA,NA,634,[],TRUE,914,680,558,604,620,634,684,682,620,584,694,610
112,18.72,100.93278,101.94006,[M-H]-,TRUE,,,,NA,NA,9314,[],TRUE,9314,8600,10134,9266,10156,9070,9066,9410,9668,9312,9546,9380
113,17.78,100.93329,101.94057,[M-H]-,TRUE,,,,NA,NA,3632,[],TRUE,3150,4668,3500,4016,3734,3936,3632,3622,3886,3944,3314,3614
114,18.4,100.93348,101.94076,[M-H]-,TRUE,,,,NA,NA,6206,[],TRUE,6312,6354,7270,6556,5176,0,6206,0,0,0,6928,6984
115,19.65,100.93354,101.94082,[M-H]-,TRUE,,,,NA,NA,20568,[],TRUE,19938,19840,19534,20568,20930,20434,19878,21548,21454,23734,26100,21480
116,0.31,100.93354,101.94081,[M-H]-,FALSE,,,,NA,NA,478,[],TRUE,618,418,444,422,732,478,360,726,454,544,512,434
117,18.5,100.93354,101.94082,[M-H]-,TRUE,,,,NA,NA,7062,[],TRUE,6356,7454,7958,6862,6752,6142,8236,6284,7062,7492,8814,23754
118,7.98,101.02431,102.03159,[M-H]-,TRUE,,C4H6O3,"SmartFormula - mzdev: -0.0001 mSigma: Infinity, ",20000,NA,260,[],TRUE,260,120,1322,254,194,288,1034,248,274,150,1072,570
120,17.55,101.93099,205.87653,[M-H-H]2-,TRUE,,,,NA,NA,602,[],TRUE,554,0,602,472,634,852,786,560,754,736,402,570
121,16.36,101.93324,102.94052,[M-H]-,TRUE,,,,NA,NA,448,[],TRUE,380,526,486,442,310,554,732,274,448,476,404,456
122,0.79,101.94082,102.94809,[M-H]-,TRUE,,,,NA,NA,5006,[],TRUE,5006,4980,4788,4476,5242,5190,4440,5170,6806,5412,5752,4764
123,4.22,101.94084,102.94811,[M-H]-,TRUE,,,,NA,NA,1276,[],TRUE,1056,1276,1404,1202,988,4210,1094,1288,1410,1144,1468,1476
124,4.77,101.94084,102.94812,[M-H]-,TRUE,,,,NA,NA,1240,[],TRUE,1258,1170,1346,1084,1154,1402,1146,1240,848,1360,1406,3790
125,0.01,101.94086,205.89627,[M-H-H]2-,FALSE,,,,NA,NA,3372,[],TRUE,3384,0,3576,3372,0,3976,0,0,3996,0,3942,3692
126,0.3,101.94087,102.94815,[M-H]-,TRUE,,,,NA,NA,4038,[],TRUE,0,0,6002,5406,0,0,6182,4798,0,5106,5548,0
127,1.67,101.94087,102.94815,[M-H]-,TRUE,,,,NA,NA,2376,[],TRUE,1976,2430,2398,3290,2332,2964,2228,2058,2168,2382,2376,2602
128,0.31,101.94089,205.89634,[M-H-H]2-,TRUE,,,,NA,NA,0,[],TRUE,4744,4458,0,0,5954,6038,0,0,5902,0,0,5912
129,1.29,101.9409,205.89636,[M-H-H]2-,TRUE,,,,NA,NA,2686,[],TRUE,3108,2734,9364,2686,2764,2874,2872,2632,2522,2672,2112,2296
130,2.34,101.9409,102.94818,[M-H]-,TRUE,,,,NA,NA,2284,[],TRUE,2184,2422,2794,2650,2284,2190,1952,2130,2326,2690,3592,2172
131,0.04,101.94093,102.9482,[M-H]-,FALSE,,,,NA,NA,3880,[],TRUE,3756,3858,3868,3970,4010,4506,3880,3976,3678,4304,4348,3720
132,19.79,102.93287,103.94054,"[M-H]-, [M+COOH]-",FALSE,,,,NA,NA,2016,[],TRUE,2016,2088,2238,1982,1722,1912,2488,2306,1930,1824,2036,2146
133,12.36,102.93358,103.94086,[M-H]-,TRUE,,,,NA,NA,404,[],TRUE,0,218,458,0,350,492,436,412,432,370,404,828
134,10.93,102.93384,103.94112,[M-H]-,FALSE,,,,NA,NA,396,[],TRUE,588,268,470,286,740,0,432,262,346,412,432,240
135,1.38,102.94831,103.95558,[M-H]-,TRUE,,,,NA,NA,566,[],TRUE,662,524,2522,486,558,632,460,600,712,702,390,566
136,1.09,102.94835,103.95562,[M-H]-,FALSE,,,,NA,NA,636,[],TRUE,838,736,680,504,588,636,690,728,610,610,722,576
137,1.92,102.94872,103.95599,[M-H]-,TRUE,,,,NA,NA,516,[],TRUE,272,544,866,750,542,782,488,488,480,524,516,472
138,0.01,102.94904,103.95632,[M-H]-,FALSE,,,,NA,NA,1042,[],TRUE,842,1026,1164,1042,920,1312,890,1150,1344,1124,1220,954
139,0.3,102.94964,103.95692,[M-H]-,FALSE,,,,NA,NA,1442,[],TRUE,1334,1450,1236,1762,1336,1872,1272,1752,1446,1526,1432,1442
140,3.6,102.95521,103.96248,[M-H]-,TRUE,,,,NA,NA,636,[],TRUE,500,636,532,648,350,656,606,504,652,802,660,718
141,17.1,102.95627,103.96355,[M-H]-,TRUE,,,,NA,NA,3460,[],TRUE,2780,2926,3212,2730,3402,4244,3460,3988,3748,3506,3350,4036
142,4.92,102.9565,103.96378,[M-H]-,TRUE,,,,NA,NA,876,[],TRUE,876,1194,684,876,932,966,716,1180,846,756,968,692
143,19.73,102.95652,103.9638,[M-H]-,TRUE,,,,NA,NA,7206,[],TRUE,5458,6136,8068,7824,6402,8928,5290,9616,7206,9278,7336,5738
144,5.33,102.95655,103.96383,[M-H]-,TRUE,,,,NA,NA,886,[],TRUE,436,940,886,1000,418,1100,862,1008,652,1406,790,956
145,6.47,102.95664,103.96392,[M-H]-,TRUE,,,,NA,NA,1058,[],TRUE,444,244,1270,1456,762,490,1390,1690,694,600,1636,1058
146,5.77,102.95666,103.96394,[M-H]-,TRUE,,,,NA,NA,910,[],TRUE,256,674,1522,910,254,804,1028,1688,382,1210,1078,1084
147,17.79,102.95668,103.96395,[M-H]-,TRUE,,,,NA,NA,3332,[],TRUE,3554,3146,3392,3332,2668,3976,3214,3480,3072,4950,3168,3520
148,17.36,102.95671,103.96398,[M-H]-,TRUE,,,,NA,NA,3312,[],TRUE,3078,3448,3202,2940,3356,3174,3312,3782,3718,3796,4586,2978
149,13.44,102.95672,103.964,[M-H]-,TRUE,,,,NA,NA,2812,[],TRUE,2494,2926,2756,3878,3316,3244,2654,2846,2812,3320,2652,2322
150,11.75,102.95675,103.96403,[M-H]-,TRUE,,,,NA,NA,2860,[],TRUE,2672,2578,3084,2782,2516,4222,3316,3562,2954,2842,2860,2940
151,15.47,102.95676,103.96403,[M-H]-,TRUE,,,,NA,NA,2724,[],TRUE,2544,2660,3620,2966,3316,2578,2574,2742,2800,2428,2724,4034
152,10.93,102.9568,103.96407,[M-H]-,TRUE,,,,NA,NA,2520,[],TRUE,2332,2520,2250,2582,3998,3126,2338,2894,2422,2388,3318,2770
153,17.58,102.95681,103.96409,[M-H]-,TRUE,,,,NA,NA,3172,[],TRUE,3068,3062,3480,3200,2966,3260,5518,3012,3172,3154,3958,3636
154,19.79,104.92892,105.93619,[M-H]-,TRUE,,,,NA,NA,894,[],TRUE,894,796,672,1006,952,972,1104,830,1030,808,940,744
155,17.37,104.95359,105.96087,[M-H]-,TRUE,,,,NA,NA,1218,[],TRUE,1860,1092,1324,926,1046,1494,1172,1338,1436,1144,1218,1446
156,6.69,104.9537,105.96098,[M-H]-,FALSE,,,,NA,NA,430,[],TRUE,0,210,556,614,366,316,550,456,430,0,754,572
157,16.21,104.95377,105.96105,[M-H]-,TRUE,,,,NA,NA,1048,[],TRUE,978,1164,1138,1028,934,1060,1048,1704,1136,940,1426,918
158,7.4,104.95379,105.96107,[M-H]-,TRUE,,,,NA,NA,454,[],TRUE,536,410,362,548,404,554,198,528,506,424,248,836
159,17.85,104.9538,105.96108,[M-H]-,TRUE,,,,NA,NA,1258,[],TRUE,1502,1092,1588,1518,1286,1266,1254,1122,1168,1234,1474,1258
160,17.6,104.95382,105.9611,[M-H]-,TRUE,,,,NA,NA,1144,[],TRUE,816,1384,1144,1024,1098,1122,1688,1696,1330,1034,1778,1352
161,7.2,104.95383,105.96111,[M-H]-,TRUE,,,,NA,NA,414,[],TRUE,414,0,324,716,408,386,300,494,532,546,0,436
162,16.46,104.95385,105.96113,[M-H]-,TRUE,,,,NA,NA,1038,[],TRUE,1022,1038,1200,978,914,1060,1014,1172,1586,940,1192,1140
163,13.52,104.95386,105.96113,[M-H]-,TRUE,,,,NA,NA,1190,[],TRUE,1082,1018,1302,1198,1936,1190,1498,1390,1224,1178,924,868
165,5.23,111.08128,112.08856,[M-H]-,FALSE,,,,NA,NA,320,[],TRUE,788,320,446,260,1468,218,306,412,944,432,244,264
167,17.61,112.98507,113.99235,[M-H]-,TRUE,,C4H2O4,"SmartFormula - mzdev: -0.0031 mSigma: 15.72, ",10100,NA,4882,[],TRUE,4050,5528,5016,4480,5370,4882,9768,5284,4384,4262,4696,5146
168,12.33,112.98545,113.99272,[M-H]-,TRUE,,C4H2O4,"SmartFormula - mzdev: -0.0026 mSigma: 14.01, ",20200,NA,3612,[],TRUE,4736,3790,3672,3370,3484,3450,3894,3436,3560,3898,3612,3712
169,0.5,112.98548,113.99275,[M-H]-,TRUE,,C4H2O4,"SmartFormula - mzdev: -0.0026 mSigma: 16.21, ",20100,NA,22130,[],TRUE,20202,20052,29106,19082,23218,22082,26778,17618,22506,26954,22130,29624
170,19.74,112.98554,113.99282,[M-H]-,TRUE,,C4H2O4,"SmartFormula - mzdev: -0.0025 mSigma: 11.85, ",20200,NA,25766,[],TRUE,27802,25450,30414,24158,22670,26644,27970,26758,27068,23406,24560,25766
171,12.63,112.98557,113.99285,[M-H]-,TRUE,,C4H2O4,"SmartFormula - mzdev: -0.0025 mSigma: Infinity, ",20000,NA,3816,[],TRUE,3602,4620,3400,3540,4180,3816,3962,3850,4034,3790,3766,4038
