"feature","solA","pvalue","mz"
"661",0.4136825978032,6.32476850706316e-53,78.95918
"1075",0.410905210896618,7.40131774693196e-56,100.93339
"997",0.410879957714335,7.05693930760344e-43,116.9284
"1052",0.410312848102073,1.37461181457274e-63,116.92845
"831",0.409818914228086,5.97947663887875e-70,398.88622
"1053",0.408962323983431,7.03210394662741e-51,116.92844
"1155",0.408937935565638,6.86895374032322e-48,292.92345
"1074",0.407721034325398,1.75966665289557e-42,280.90838
"1139",0.407442472137179,7.22615592927643e-31,242.94019
"1134",0.407084472544006,4.97293908185728e-29,440.88183
"988",0.406531267591122,4.36742357561383e-52,158.92534
"699",0.404693008279521,6.89567975479989e-22,256.93956
"1049",0.404479714821231,5.61082339309345e-50,96.96013
"8",0.403018633133754,1.62827053188888e-42,129.01921
"358",0.397441175829259,1.9442185660473e-21,545.2385
"1112",0.396986028823056,2.65254609450068e-53,1132.79699
"981",0.395406300736904,1.04822228394907e-48,1031.31777
"1150",0.392005269851927,7.32501707938809e-49,792.85984
"1174",0.391617188693979,1.28964258499498e-41,78.95926
"120",0.391600423836312,5.02490601628879e-11,309.06153
"1148",0.390146786595284,3.21302692811993e-24,410.86281
"657",0.389683794549996,1.00375923261266e-42,173.87144
"744",0.388890647701572,1.5671517440121e-31,474.92323
"1097",0.387272657803397,9.15212231695587e-31,145.93067
"747",0.386172120742832,1.67588352735177e-51,1246.44389
"749",0.385931290239045,4.11059657337557e-45,646.77316
"1012",0.385851065126621,5.65337904406991e-28,145.93069
"1017",0.381829277135064,3.71920761136348e-45,1234.77831
"922",0.38087146025352,1.93461175650537e-50,196.89491
"735",0.380795147715233,1.81629192499627e-37,143.93524
"818",0.379214339630079,8.91419956802067e-36,478.85019
"666",0.378400807516718,9.28952421232961e-24,86.03299
"900",0.37777372425234,9.79160416416478e-40,216.90945
"345",0.377607641686606,4.04419516178758e-10,581.22385
"1041",0.376726549482167,1.14651081754047e-45,364.86972
"817",0.375718126890878,7.85179249142982e-36,190.92855
"353",0.373688517376974,1.36316196368695e-45,59.01421
"61",0.373214935743306,2.26803546763837e-29,177.0559
"1079",0.372582532615745,7.04799869474648e-47,199.94144
"764",0.372538364766766,8.24577541155592e-32,932.81172
"7",0.371920028119916,1.31607485014405e-54,175.0613
"944",0.371736517650768,2.72153171886203e-55,99.92574
"872",0.37141866862977,8.10407761710795e-41,505.0115
"903",0.370162377946681,6.87407858577817e-34,174.95615
