"feature","solA","pvalue","mz"
"1759",0.285508132646626,9.26804944759392e-10,544.90867
"771",0.282805385727397,1.12003083562793e-34,455.13572
"73",0.282740749972454,4.59592453371242e-40,566.90333
"174",0.282404908192223,1.57795983766231e-19,731.33129
"2131",0.281906018672795,1.36167087548927e-13,413.1627
"1102",0.281835062053911,7.56261424704734e-68,299.13177
"228",0.28146072143089,0.000217628846588509,331.19147
"2034",0.281079955976492,0.00288189049387317,367.17608
"1716",0.280714724368614,8.46581904497359e-30,393.21291
"389",0.280366704337632,6.45411312729155e-16,285.07999
"2090",0.279733472337948,5.42720557614351e-11,233.08228
"1063",0.279197242043094,3.78015158022989e-67,241.05073
"638",0.276940392473938,1.09361539287417e-29,423.22339
"1438",0.27690975962428,1.16950495423959e-21,309.06184
"2096",0.27658451541077,5.22221269516316e-10,361.12971
"413",0.276152473741402,1.02368166518329e-12,439.23393
"2150",0.275197264997044,1.33801241494385e-10,307.1552
"333",0.275178510650011,5.33094713420749e-06,342.13503
"470",0.273798496378583,6.31130315675898e-10,529.16924
"1861",0.273097482386886,8.25701695884061e-07,395.20746
"412",0.27297531694766,2.99826501799296e-36,421.18712
"1869",0.272876204311836,6.73214896526959e-53,335.15022
"168",0.272010067409489,6.79280187173347e-29,441.19407
"119",0.271728446131598,1.6536253289231e-13,483.03342
"1789",0.271392049865488,0.0274680718068316,567.33875
"1429",0.27117197456834,2.87572285601821e-09,555.1507
"763",0.270774724388966,3.83535820090094e-17,385.13089
"182",0.270712915975271,0.0219035124543756,205.12347
"425",0.268388330066967,2.3179418074141e-64,378.19401
"53",0.268308799820379,5.0978187029149e-119,285.89853
"594",0.268205256222512,2.55482324118845e-46,315.05186
"221",0.268132585361455,1.51662075657296e-24,296.93994
"1688",0.266888958672315,3.60547095544117e-62,293.10336
"1400",0.266721335413773,7.89147758768565e-53,319.11922
"2160",0.266105904241615,7.23070993981087e-22,279.1239
"1967",0.265948917014031,8.99994626669823e-05,336.21809
"2117",0.265822554673767,1.74931131637718e-24,263.12899
"1961",0.263901464275495,1.22174061779203e-34,349.16567
"502",0.263853478620771,2.13965354207164e-64,299.11359
"201",0.263711178587565,5.29309641807513e-16,395.13835
"456",0.26218035266849,3.57734894937761e-61,279.08814
"403",0.262024020100734,1.64548013308911e-16,321.15581
"1981",0.261808271836631,4.08723371430447e-46,476.92118
"1864",0.261747252830879,4.47516355482749e-07,655.39129
"1652",0.26144647027356,2.16346765564384e-69,317.10426
"372",0.259927896926316,2.10950273011242e-19,431.30135
"672",0.259051605983134,4.2942631044419e-62,265.09047
"346",0.257040517995119,8.13809980715153e-08,335.17162
"574",0.256844367556281,0.00718191297341636,631.33407
"549",0.256721036081258,1.13413881112545e-19,305.06712
"1329",0.255429441245006,1.66745932656492e-80,537.19395
"1194",0.254292585226963,0.0489361333944393,385.18667
"206",0.254046804355135,2.06604879355489e-28,358.19853
"246",0.253843610261948,6.56463412329965e-06,209.90483
